nome_site;usuario;cidade;uf;categoria;tags;categoria_imovel;status_imovel;contato;data_periodo_eua;url;card_nome;card_localizacao;descricao;preco;card_imagem_url;card_url;og_title;og_image;og_description;og_status;galeria;data_primeiro_scraper_brasil;data_primeiro_scraper_eua;data_primeiro_scraper_eua_timestamp;data_ultimo_scraper_brasil;data_ultimo_scraper_eua;data_ultimo_scraper_eua_timestamp;data_periodo_eua_timestamp
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Kitnet;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>ALUGUEL: R$ 1.200,00/mês<br/>Dormitórios: 1<br/>Banheiros: 1<br/>Garagens: 1";1200;img_178ed20698e0c63c51625e2f408a5f0a.jpeg;https://primeimoveisunai.com.br/imovel/kitnet-no-bairro-centro-unai-aluguel-RS1200/165582;"KITNET NO RESIDENCIAL CINE CRISTAL - Prime Imóveis - Compra, venda e administração de imóveis";img_1b7a12d08a566eaa6758f88e0cc6691a.jpeg;"EXCELENTE KITNET DISPONÍVEL PARA LOCAÇÃO . LOCALIZAÇÃO: BAIRRO CENTRO-RES. CINE CRISTAL ALUGUEL: R$1400,00 . 1 COZINHA 1 QUARTO 1 BANHEIRO ELEVADOR 6° ANDAR COM VAGA DE GARAGEM Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, N°69, Térreo - centro- Unaí-MG CRECI:MGJ0006090";ok;img_178ed20698e0c63c51625e2f408a5f0a.jpeg,img_5a48edbd36296d168b1d91d2304e8746.jpeg,img_f9cf1abfd79007fbd24cdd38343f1619.jpeg,img_23d6dd7808c11bb194c983e46883c3df.jpeg,img_977d94e9d9d1b3c82093780d3e5ce4e3.jpeg;"11/06/2026 01:00:08";"2026-06-11 01:00:08";1783738800;;;;
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;Apartamentos;Venda;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Apartamento;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>VENDA:<br/>R$ 490.000,00<br/>CONDOMÍNIO: R$ 358,00";490000;img_fd89941d4efd9eeb849c0b8fbf7e4607.jpg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-cruzeiro-unai-venda-RS490000/156701;"VENDE-SE APARTAMENTO NO RESIDENCIAL ORQUÍDEAS - Prime Imóveis - Compra, venda e administração de imóveis";img_b9a1b2539a3b94678361c5a356b93e2c.jpg;"🏡 LINDO apartamento à VENDA no Condomínio Residencial Orquídeas Um apartamento sofisticado e aconchegante para você e sua família! Curta o silêncio de um local afastado com o benefício de estar no centro da cidade! O apartamento, reformado, conta com lindos móveis planejados em todos os cômodos. O apartamento conta com: 🔹 3 quartos (sendo 1 suíte) 🔹 1 banheiro social 🔹 Cozinha com mesa de jantar 🔹 Sala de TV bastante espaçosa 🔹 Sacada ampla e com uma linda vista 🔹 Garagem para 2 carros 🔸 Condomínio fechado 🔸 Quadra de lazer 🔸 Grande área de convivência 🤳 Agende já sua visita pelo, (38) 9.9970-6070 ou (38) 9.9951-0255 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_fd89941d4efd9eeb849c0b8fbf7e4607.jpg,img_ace2921e9c27d57e35f58fc8b10b7b55.jpg,img_336d7ea7abaf11c774e8e77827db876d.jpg,img_edb7b7336b48f1588fed7115abc6b068.jpg,img_fbdbeff8bcd2672425683fca69031af8.jpg,img_06670b860371584a66a8bce5d2c163e5.jpg,img_869afb3d29ff83f69c4613c39dabd5d3.jpg,img_f093bc09736aeac81ef3bd1a0e7fbd09.jpg,img_d0a1ebc88bb6f2cf3ab6fce42bd5a18f.jpg,img_1a15755bae22d3719ae1c7467ca0a9c7.jpg;"11/06/2026 01:00:13";"2026-06-11 01:00:13";1783738800;;;;
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;Apartamentos;Venda;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Apartamento;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 475.000,00<br/>Dormitórios: 3 (sendo 1 suíte)<br/>Banheiros: 2<br/>Garagens: 1";475000;img_9b6c11bfd82092c4b8923775143ecde2.jpeg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-centro-unai-venda-RS475000/151271;"VENDE-SE APARTAMENTO RESIDENCIAL SOLARE - Prime Imóveis - Compra, venda e administração de imóveis";img_7d326bd069c65d07377745a65579755e.jpeg;"APARTAMENTO RESIDENCIAL SOLARE Localizado no centro de Unaí, Rua Djalma Torres, n⁰454, com tudo que precisa perto: farmácia, mercado, padaria, posto, academia, escolas e muito mais... São 110,29m² distribuídos de maneira a trazer amplitude e comforto. 2⁰ andar, c/ escadas 1 Vaga de garagem 3 Quartos (1 suíte com banheira) 1 banheiro social Sala ampla para 2 ambientes Cozinha com armários planejados Lavanderia Sacada Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_9b6c11bfd82092c4b8923775143ecde2.jpeg,img_0c46c0fe2e0758edee051c05a039905d.jpeg,img_fc604e258b285d6bc7ec39452e674b53.jpeg,img_30938894a055e85afd2169ab1463dc5b.jpeg,img_55d132d7e6deb27a91518ffc43ff9501.jpeg,img_08fc35d9d435d6030e4d2d613f1efbcd.jpeg,img_df3d6ec9ac79c1e02ba3946edbbcc524.jpeg,img_afda57360056077bd81a5702a297f99c.jpeg,img_c9a3369abd0309b47b723660f14c6ff4.jpeg,img_4b9dbe03b26f88296dd6404f8b752982.jpeg;"11/06/2026 01:00:17";"2026-06-11 01:00:17";1783738800;;;;
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;"Sítios e Chácaras";Venda;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Chácara;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 150.000,00<br/>Área Total: 7500.00m2";150000;img_269e7c9005e699acc554e473ee3bcbb6.png;https://primeimoveisunai.com.br/imovel/chacara-venda-RS150000/146044;"VENDE-SE CHÁCARAS - Prime Imóveis - Compra, venda e administração de imóveis";img_72291eb2502e3204aa53595915b7b788.png;"5 chácaras cada uma com 1.500m². Podendo ser negociadas individualmente ou todas Localizadas nas chácaras cascalheiras, entrada em frente a Coagril, sentido Brasília. Área total: 7.500m² Pontos de água e esgoto para cada chácara A 8km do centro de Unaí R$750.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_269e7c9005e699acc554e473ee3bcbb6.png,img_5e55b967178021caad336a06499708ef.jpeg,img_05aa61b1a39814ea0f88cfd9a8844fc3.jpeg;"11/06/2026 01:00:21";"2026-06-11 01:00:21";1783738800;;;;
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;"Sítios e Chácaras";Venda;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Chácara;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 1.590.000,00";1590000;img_0225c757bb199b24c22ef5dc67414538.jpeg;https://primeimoveisunai.com.br/imovel/chacara-venda-RS1590000/90127;"VENDE-SE CHÁCARA COM EXCELENTE INFRAESTRUTURA - Prime Imóveis - Compra, venda e administração de imóveis";img_63c0ebed5f47b70ced0352c186891307.jpeg;"VENDE-SE CHÁCARA COM EXCELENTE INFRAESTRUTURA 📍Localizada nas chácaras Colina Tamanho: metros quadrados 🏠DESCRIÇÃO DA CASA 6 QUARTOS 4 BANHEIROS SALA DE ESTAR E DE JANTAR 1 ESCRITÓRIO ÁREA GOURMET COM PISCINA E BANHEIRO SOCIAL SAUNA TODA ARBORIZADA POÇO ARTESIANO ÁGUA ENCANADA FORNECIDA PELO SAAE 🏦NÃO FINANCIA ACEITA TROCA EM APARTAMENTO COMO PARTE DO PAGAMENTO 1.590.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 (38) 99941-4334 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_0225c757bb199b24c22ef5dc67414538.jpeg,img_65e790431bf6e6f1979f70d796e12be4.jpeg,img_567a175a0d2e4b4edcc690be13ec9cf5.jpeg,img_34457c472f6d70cbb7705ac292c91c9c.jpeg,img_857934bd8ee542881a743f4762a30bdc.jpeg,img_6feee68ece918caaadfa3bb4e2e611fd.jpeg,img_6835cda36070894c73a54c9b7b4d4d8c.jpeg,img_27134babee3c9273e03ef0ebcbe31c38.jpeg,img_176c350fe3f34a93ea33645f0953e26c.jpeg,img_4e51038f062d49455ca6ddccf9ee1ec3.jpeg;"11/06/2026 01:00:24";"2026-06-11 01:00:24";1783738800;;;;
"Prime Imóveis - Locação";imoveisunai;Unaí;MG;;;Casas;Venda;"(38) 99970-6070";2026-07-11;https://primeimoveisunai.com.br/imoveis;Casa;"Unaí, MG";"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 2.500.000,00<br/>Dormitórios: 8 (sendo 4 suítes)<br/>Banheiros: 2<br/>Garagens: 3";2500000;img_0dee5b5939cea75d32f40ca46df98ba8.jpeg;https://primeimoveisunai.com.br/imovel/casa-no-bairro-divineia-unai-venda-RS2500000/84930;"VENDE-SE CASA DE ALTO PADRÃO - Prime Imóveis - Compra, venda e administração de imóveis";img_a55ed1c02db070af366a59031c9fb0e3.jpeg;"VENDE-SE CASA DE ALTO PADRÃO LOTE TAMANHO 14X30 ÁREA CONSTRUÍDA 400M² 4 QUARTOS, SENDO 4 SUÍTES 2 BANHEIROS SOCIAIS GARAGEM P/ 3 CARROS PISCINA LAVANDERIA TODA NO PORCELANATO ÁREA GOURMET PERGOLADO R$2.500.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_0dee5b5939cea75d32f40ca46df98ba8.jpeg,img_5b7a79ba349da30b8a20294123e60571.jpeg,img_33bc3ebd2c963ea374a0baa8d12fc48f.jpeg,img_5a315d4a91d82aabe095b79476b46c1c.jpeg,img_45319ab98a7912837405f61b64c32a68.jpeg,img_b0723b879e728765775f1ef6e1813eb7.jpeg,img_52a8ac7bfb1393b367f3d62e7d9151ec.jpeg,img_2f466b051e6156ce797c21f890fb5e30.jpeg,img_a8ba1a15755fd16ba7bdaf833e4dcade.jpeg,img_5e9bd8b874ac9539b2c80003af0f599d.jpeg;"11/06/2026 01:00:28";"2026-06-11 01:00:28";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Sala;"Centro - Unaí - MG";"Aluguel<br/><b>R$ 765</b><br/>/mês<br/>Condomínio R$ 210IPTU R$ 25/mês<br/>Pacote de locação R$ 1.000/mês<br/>Banheiro1<br/><b>Descrição</b><br/>Sala com hall de entrada, 2 repartições, 1 cozinha, 1 banheiro<br/>Segundo andar<br/>Não possui garagem<br/>Incluso condomínio e IPTU<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Alarme<br/>Armário cozinha<br/>Cozinha<br/>Elevador<br/>Escritório<br/>Piso cerâmico<br/>Ver mais";765;img_c308f7848f5ef6babf2aa12b9f9793ce.jpg;https://www.terrafertilimobiliaria.com.br/imovel/sala-unai/SA0034-TFUU;"Sala para alugar por R$ 1.000,00/mês - Centro - Unaí/MG";img_2dd7191f2b39ac016cd456f1d44d8a88.jpg;"Sala com hall de entrada, 2 repartições, 1 cozinha, 1 banheiro Segundo andar Não possui garagem Incluso condomínio e IPTU Marque sua visita!";ok;img_571397c2b158ffe52b9c8a403ea39026.jpg,img_71c7ce209e0bc5f805cacc59170adbef.jpg,img_3aa17ec351ef1c24b8d89a26803cb616.jpg,img_7540ae7bddb64138ce84362fbff41f6e.jpg,img_7799f9ed9867aa29b09d4d8461d3a105.jpg,img_c689de671caa5cedd3e27aceaafda9f3.jpg,img_bfda22a3ff51933613fb68148e7fd67c.jpg;"11/06/2026 01:00:32";"2026-06-11 01:00:32";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 970</b><br/>/mês<br/>Condomínio R$ 130IPTU R$ 15/mês<br/>Pacote de locação R$ 1.115/mês<br/>Quarto1<br/>Banheiro1<br/><b>Descrição</b><br/>Sala conjugada com cozinha, possui armários planejados, fogão, sofá retrátil e estante, quarto possui duas camas de solteirto, banheiro com móveis planejados.<br/>Não possui vaga de garagem<br/>1º andar com elevador<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Armário banheiro<br/>Armário cozinha<br/>Armário sala<br/>Cozinha<br/>Elevador<br/>Interfone<br/>Mobiliado<br/>Piso cerâmico<br/>Ver mais";970;img_36c2991b27d627c3771de5bdf4910f55.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0081-TFUU;"Kitnet com 1 dormitório para alugar por R$ 1.115,00/mês - Cachoeira - Unaí/MG";img_b5540859ad02a0dbce99f077ba896420.jpg;"Sala conjugada com cozinha, possui armários planejados, fogão, sofá retrátil e estante, quarto possui duas camas de solteirto, banheiro com móveis planejados. Não possui vaga de garagem 1º anda...";ok;img_579d0db89579d5ab70824288b81c2c7b.jpg,img_90213a2edbc5b2273ed0745b9bf0cca4.jpg,img_66ded9dc110c2826b6a83b8688c7d360.jpg,img_f84b271adbea4fb54259ebb10c05101a.jpg,img_beb378802d3e5b10fcca2c49ee0e82ff.jpg;"11/06/2026 01:00:33";"2026-06-11 01:00:33";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 1.036</b><br/>/mês<br/>Condomínio R$ 145IPTU R$ 19/mês<br/>Pacote de locação R$ 1.200/mês<br/>Quarto1<br/>Banheiro1<br/>Vaga1<br/><b>Descrição</b><br/>Quarto, sala com sacada e conjugada com a cozinha, banheiro social<br/>1 vaga de garagem<br/>5º andar de escada<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Armário cozinha<br/>Cozinha<br/>Interfone<br/>Piso cerâmico<br/>Portão eletrônico<br/>Ver mais";1036;img_0fe7dc9ba94c46587c27cf82e29684b3.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0082-TFUU;"Kitnet com 1 dormitório para alugar por R$ 1.200,00/mês - Cachoeira - Unaí/MG";img_ce18550cd11f99eb51b136cf1a27763f.jpg;"Quarto, sala com sacada e conjugada com a cozinha, banheiro social 1 vaga de garagem 5º andar de escada Marque sua visita!";ok;img_61f950942cdb43d35197207c9437a186.jpg,img_b44dcf4b6dd5848014b7840473ebd96d.jpg,img_9579754893d01fa341219ea4189a667d.jpg,img_46c65a681ad90809445fb24600aeb1af.jpg,img_8cfec0680485f76af5c5ee3e70254fde.jpg,img_acadbd072efe67a91b378a8c527d7dc3.jpg;"11/06/2026 01:00:35";"2026-06-11 01:00:35";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Capim Branco - Unaí - MG";"Aluguel<br/><b>R$ 1.100</b><br/>/mês<br/>Condomínio R$ 200<br/>Pacote de locação R$ 1.300/mês<br/>Quarto1<br/>Banheiro1<br/>Aceita petSim<br/><b>Descrição</b><br/>Quarto com varanda ampla, sala de estar, cozinha com varanda, área de serviço e banheiro social.<br/>Não possui garagem<br/>Incluso condomínio<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Área de serviço<br/>Cozinha<br/>Interfone<br/>Piso cerâmico<br/>Portão eletrônico<br/>Varanda<br/>Ver mais";1100;img_924904632a56552be319e51b3f808beb.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0067-TFUU;"Kitnet com 1 dormitório para alugar por R$ 1.300,00/mês - Capim Branco - Unaí/MG";img_d93a439883a5b46f76c7d04e61a26b0c.jpg;"Quarto com varanda ampla, sala de estar, cozinha com varanda, área de serviço e banheiro social. Não possui garagem Incluso condomínio Marque sua visita!";ok;img_b3ec65dde2cd1bca979db6f044adcc55.jpg,img_82022ff37ff876702bf964a4e6997dad.jpg,img_614e99971de97f55f6fb456906a1d374.jpg,img_34998d00d156ef757f736c95c5928b0e.jpg,img_cc33514a9b480f061fc9b4d7a0884217.jpg,img_b38ffcb4f28b4b1e34525005e374ee16.jpg,img_7c48479fd6a87eeb1f22f354715a12db.jpg,img_21a9eef7b037c96297cf490ac0a740e2.jpg,img_fd1e37742fb680b9aec6fbbd74ddec05.jpg;"11/06/2026 01:00:35";"2026-06-11 01:00:35";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 1.301</b><br/>/mês<br/>Condomínio R$ 180IPTU R$ 19/mês<br/>Pacote de locação R$ 1.500/mês<br/>Quarto1<br/>Banheiro1<br/><b>Descrição</b><br/>Quarto com cama de casal, tv, mesa, guarda roupa, ar condicionado e cortinas, Cozinha com armários, geladeira, microondas, fogão, maquina de lavar e mesa com 4 cadeiras<br/>Banheiro com armários<br/>Não possuí vaga de garagem<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Armário banheiro<br/>Armário cozinha<br/>Armário quarto<br/>Cozinha<br/>Elevador<br/>Interfone<br/>Mobiliado<br/>Piso cerâmico<br/>Ver mais";1301;img_f182bfeb210e29c85a2b73919db66681.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0085-TFUU;"Kitnet com 1 dormitório para alugar por R$ 1.500,00/mês - Cachoeira - Unaí/MG";img_266fbea869594fc14b5d6431d803a412.jpg;"Quarto com cama de casal, tv, mesa, guarda roupa, ar condicionado e cortinas, Cozinha com armários, geladeira, microondas, fogão, maquina de lavar e mesa com 4 cadeiras Banheiro com armários Nã...";ok;img_0c4eb2536a465fb8aa3c671ab9662444.jpg,img_a2b0c63af9bc73ec71c0c26bfb059255.jpg,img_37d5082d3b62760995d053336fd4dbe5.jpg,img_061810cde7d8e238d834cfa88792daed.jpg,img_029a8da32f33b2f3797048e0e2dba529.jpg,img_bb43abc80873a20466f2e8c2a7b1ef3c.jpg;"11/06/2026 01:00:36";"2026-06-11 01:00:36";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 1.398</b><br/>/mês<br/>Condomínio R$ 140IPTU R$ 37/mês<br/>Pacote de locação R$ 1.575/mês<br/>Quarto1<br/>Banheiro1<br/>Vaga1<br/><b>Descrição</b><br/>Quarto com guarda-roupa planejados, painel, televisão, ar condicionado, cama baú e cortinas, cozinha com armários planejados, geladeira, cooktop 4 bocas, sugar, microondas, persiana, uma mesa de madeira e duas cadeiras.<br/>Banheiro social com armários planejados<br/>2º andar com elevador<br/>1 vaga de garagem<br/>Maque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Ar condicionado<br/>Armário banheiro<br/>Armário cozinha<br/>Armário quarto<br/>Cozinha<br/>Elevador<br/>Interfone<br/>Mobiliado<br/>Piso cerâmico<br/>Portão eletrônico<br/>Ver mais";1398;img_31e656335b89acf1d5091453ed620d28.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0086-TFUU;"Kitnet na Avenida José Luís Adjuto, 1105 - Cachoeira - Unaí - MG, aluguel por R$ 1.39...";img_658cb77f87805b00da5ba11cc2ff9d37.jpg;"Quarto com guarda-roupa planejados, painel, televisão, ar condicionado, cama baú e cortinas, cozinha com armários planejados, geladeira, cooktop 4 bocas, sugar, microondas, persiana, uma mesa de ma...";ok;img_db06856b0a7339c81a3d7ee4a272c2d5.jpg,img_a332e89f758570ee341d944acaa76883.jpg,img_b1bd064eb6e53538daaaf23c6e33434a.jpg,img_18b3e39753942856373af9fb998b133e.jpg,img_92af5cfaf3ae09314a0f1789477df283.jpg,img_41884a975b011dd23c178f3f3c2cc4dd.jpg;"11/06/2026 01:00:37";"2026-06-11 01:00:37";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Kitnet;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Kitnet;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 1.410</b><br/>/mês<br/>Condomínio R$ 140IPTU R$ 25/mês<br/>Pacote de locação R$ 1.575/mês<br/>Quarto1<br/>Banheiro1<br/><b>Descrição</b><br/>Quarto com guarda-roupa planejado, painel, televisão, ar condicionado, cama baú e cortinas, cozinha com armários planejados, geladeira, cooktop 4 bocas, sugar, microondas, persiana, uma mesa de madeira com duas cadeiras e banheiro social com armário planejado.<br/>2º andar com elevador<br/>Não possui vaga de garagem<br/>Maque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Ar condicionado<br/>Armário banheiro<br/>Armário cozinha<br/>Armário quarto<br/>Cozinha<br/>Elevador<br/>Interfone<br/>Mobiliado<br/>Piso cerâmico<br/>Portão eletrônico<br/>Ver mais";1410;img_49f9e97739b06eba141723196db2d76e.jpg;https://www.terrafertilimobiliaria.com.br/imovel/kitnet-unai-1-quarto/KN0084-TFUU;"Kitnet com 1 dormitório para alugar por R$ 1.575,00/mês - Cachoeira - Unaí/MG";img_addd7dc97942882e364caae33e6c50cf.jpg;"Quarto com guarda-roupa planejado, painel, televisão, ar condicionado, cama baú e cortinas, cozinha com armários planejados, geladeira, cooktop 4 bocas, sugar, microondas, persiana, uma mesa de mad...";ok;img_f05b805f1b3d53290d98425d30ecb9d0.jpg,img_41b1ca1e4b6328b0285695f2cb74342a.jpg,img_65e57e955ed8e2671640864aa35edac7.jpg,img_53bb463b4c0b3b2607c3abd87fbe0f5d.jpg,img_cebf6558c01835b4bcade663cee17c6a.jpg;"11/06/2026 01:00:38";"2026-06-11 01:00:38";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Apartamentos;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Apartamento;"Dom Bosco - Unaí - MG";"Aluguel<br/><b>R$ 1.480</b><br/>/mês<br/>Condomínio R$ 570IPTU R$ 50/mês<br/>Pacote de locação R$ 2.100/mês<br/>Quartos2<br/>Suíte1<br/>Banheiro1<br/>Vaga1<br/><b>Descrição</b><br/>2 quartos sendo uma suíte, banheiro social, cozinha, área de serviço, sala de estar com sacada e 1 vaga de garagem<br/>O condomínio possui área de lazer completo,piscina adulto e infantil, salão de festas, espaço gourmet, quadra poliesportiva, playground e portaria 24 horas.<br/>Marque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Área de serviço<br/>Churrasqueira<br/>Cozinha<br/>Elevador<br/>Piscina<br/>Porcelanato<br/>Portão eletrônico<br/>Quadra poliesportiva<br/>Sacada<br/>Ver mais";1480;img_df6dddfbfcc706951122cf9b18cff445.jpg;https://www.terrafertilimobiliaria.com.br/imovel/apartamento-unai-2-quartos/AP0171-TFUU;"Apartamento com 2 dormitórios para alugar por R$ 2.100,00/mês - Dom Bosco - Unaí/MG";img_bb605c15577b705891ffa651f74c1966.jpg;"2 quartos sendo uma suíte, banheiro social, cozinha, área de serviço, sala de estar com sacada e 1 vaga de garagem O condomínio possui área de lazer completo,piscina adulto e infantil, salão de ...";ok;img_c35b8c3170a0c8dccc5a542716341143.jpg,img_00a4c5aec669d3033298ed7f49cd4ab0.jpg,img_9431d379a7f2ad909c401789b5426666.jpg,img_0ae835d59de1493c60ff222ccf6492cd.jpg,img_25162a4d8f5e75c38455bef975cc9b5a.jpg,img_6ed4a689fdf54fba313156fd3903dd97.jpg,img_29768074b10255f9169adcacf217d7ac.jpg,img_914ddd342da3b5660628dd593c4f77a3.jpg,img_8486037038e40d1f5dd18b06226bd950.jpg,img_693c01662565ca94f5d468d46a8833c5.jpg;"11/06/2026 01:00:39";"2026-06-11 01:00:39";1783738800;;;;
"Terra Fértil";imoveisunai;Unaí;MG;;;Apartamentos;Aluguel;"(38) 99958-5454";2026-07-11;https://www.terrafertilimobiliaria.com.br/imoveis;Apartamento;"Cachoeira - Unaí - MG";"Aluguel<br/><b>R$ 1.600</b><br/>/mês<br/>Condomínio R$ 200<br/>Pacote de locação R$ 1.800/mês<br/>Quartos3<br/>Suíte1<br/>Banheiros2<br/>Vaga1<br/>Aceita petSim<br/><b>Descrição</b><br/>3 quartos sendo uma suíte, sala, cozinha com sacada, área de serviço e banheiro social<br/>1vaga de garagem<br/>2º andar de escada<br/>Maque sua visita!<br/>Ver mais<br/><b>Características</b><br/>Área de serviço<br/>Cozinha<br/>Interfone<br/>Piso cerâmico<br/>Portão eletrônico<br/>Ver mais";1600;img_1fa3b35e909a0e54af30527e05a37ab1.jpg;https://www.terrafertilimobiliaria.com.br/imovel/apartamento-unai-3-quartos/AP0099-TFUU;"Apartamento com 3 dormitórios para alugar por R$ 1.800,00/mês - Cachoeira - Unaí/MG";img_71872a8178d4f0a1d858cd0ca36cba0a.jpg;"3 quartos sendo uma suíte, sala, cozinha com sacada, área de serviço e banheiro social 1vaga de garagem 2º andar de escada Maque sua visita!";ok;img_48a02bdcbe7e3001ba524e002bf821b7.jpg,img_1892476cdef85408f4d7bb83b30d8dbd.jpg,img_73a1cedfbb65c7be280423e1efdfe773.jpg,img_225da42b2e78f51b263c1282e8fcf644.jpg,img_e7aefc1744705abe5f093fd95285d06a.jpg,img_59920029fdef54d1855ef9c96d531110.jpg,img_c8bb3397e8ceb87c208ef3333bd6fec5.jpg;"11/06/2026 01:00:40";"2026-06-11 01:00:40";1783738800;;;;
